date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-01-03,125.07,130.9,124.17,130.28,112117471,123.483991111611,129.240061057887,122.595403984399,128.627923259141,112117471,0.0,1.0
2023-01-04,126.36,128.6557,125.08,126.89,89113633,124.757632660616,127.024220958328,123.493864301914,125.280911746641,89113633,0.0,1.0
2023-01-05,125.02,127.77,124.76,127.13,80962708,123.434625160099,126.149752493248,123.177922212238,125.517868313897,80962708,0.0,1.0
2023-01-06,129.62,130.29,124.89,126.01,87754715,127.976292699185,128.637796449443,123.306273686169,124.412071000033,87754715,0.0,1.0
2023-01-09,130.15,133.41,129.89,130.465,70790813,128.49957178521,131.718231823779,128.242868837349,128.810577279734,70790813,0.0,1.0
2023-01-10,130.73,131.2636,128.12,130.26,63896155,129.072216822747,129.599050257281,126.495314153831,128.608176878536,63896155,0.0,1.0
2023-01-11,133.49,133.51,130.46,131.25,69458949,131.797217346198,131.816963726803,128.805640684583,129.585622718469,69458949,0.0,1.0
2023-01-12,133.41,134.26,131.44,133.88,71379648,131.718231823779,132.55745299948,129.773213334214,132.18227176799,71379648,0.0,1.0
2023-01-13,134.76,134.92,131.66,132.03,57809719,133.051112514598,133.209083559435,129.990423520866,130.355731562053,57809719,0.0,1.0
2023-01-17,135.94,137.29,134.13,134.83,63646627,134.216148970276,135.549029661095,132.429101525549,133.120224846714,63646627,0.0,1.0
2023-01-18,135.21,138.61,135.03,136.815,69672800,133.495406078204,136.852290781006,133.317688652761,135.080053121733,69672800,0.0,1.0
2023-01-19,135.27,136.25,133.77,134.08,58280413,133.554645220018,134.522217869649,132.073666674664,132.379735574037,58280413,0.0,1.0
2023-01-20,137.87,138.02,134.22,135.28,80223626,136.121674698631,136.269772553167,132.51796023827,133.56451841032,80223626,0.0,1.0
2023-01-23,141.11,143.315,137.9,138.12,81760313,139.320588356596,141.497626818266,136.151294269539,136.36850445619,81760313,0.0,1.0
2023-01-24,142.53,143.16,140.3,140.305,66435142,140.722581379531,141.34459236858,138.520859942105,138.525796537256,66435142,0.0,1.0
2023-01-25,141.86,142.43,138.81,140.89,65799349,140.061077629273,140.623849476507,137.049754587053,139.103378169944,65799349,0.0,1.0
2023-01-26,143.96,144.25,141.9,143.17,54105068,142.134447592768,142.420770111537,140.100570390482,141.354465558882,54105068,0.0,1.0
2023-01-27,145.93,147.23,143.08,143.155,70555843,144.079466082333,145.36298082164,141.265606846161,141.339655773429,70555843,0.0,1.0
2023-01-30,143.0,145.55,142.85,144.955,64015274,141.186621323742,143.704284850844,141.038523469207,143.116830027853,64015274,0.0,1.0
2023-01-31,144.29,144.34,142.28,142.7,65874459,142.460262872746,142.509628824258,140.475751621972,140.890425614671,65874459,0.0,1.0
2023-02-01,145.43,146.61,141.32,143.97,77663633,143.585806567215,144.750843022894,139.527925352946,142.144320783071,77663633,0.0,1.0
2023-02-02,150.82,151.18,148.17,148.9,118338980,148.907456140187,149.262890991072,146.291060710062,147.011803602134,118338980,0.0,1.0
2023-02-03,154.5,157.38,147.83,148.03,154357337,152.540790171455,155.384268978535,145.955372239782,146.152836045829,154357337,0.0,1.0
2023-02-06,151.73,153.1,150.78,152.575,69858306,149.805916457702,151.158543529125,148.867963378978,150.640201038251,69858306,0.0,1.0
2023-02-07,154.65,155.23,150.64,150.64,83322551,152.688888025991,153.261533063528,148.729738714745,148.729738714745,83322551,0.0,1.0
2023-02-08,151.92,154.58,151.168,153.88,64120079,149.993507073447,152.619775693874,149.251043162709,151.928652372709,64120079,0.0,1.0
2023-02-09,150.87,154.33,150.42,153.775,56007143,148.956822091699,152.372945936315,148.512528528093,151.824983874534,56007143,0.0,1.0
2023-02-10,151.01,151.3401,149.22,149.46,57450708,149.322130132886,149.64854053721,147.552137331496,147.789454802074,57450708,0.23,1.0
2023-02-13,153.85,154.26,150.92,150.952,62199013,152.130386868052,152.535804213622,149.23313608142,149.26477841083,62199013,0.0,1.0
2023-02-14,153.2,153.77,150.86,152.12,61707573,151.487652051905,152.051281044526,149.173806713775,150.419723434307,61707573,0.0,1.0
2023-02-15,155.33,155.5,152.88,153.11,65669252,153.593844603279,153.761944478272,151.171228757802,151.398658000438,65669252,0.0,1.0
2023-02-16,153.71,156.33,153.3475,153.51,68167942,151.991951676882,154.582667397352,151.633503414031,151.794187118067,68167942,0.0,1.0
2023-02-17,152.55,153.0,150.85,152.35,59144118,150.844917235758,151.28988749309,149.163918485835,150.647152676943,59144118,0.0,1.0
2023-02-21,148.48,151.3,148.405,150.2,58867230,146.820408463883,149.608888743167,146.746246754327,148.521183669687,58867230,0.0,1.0
2023-02-22,148.91,149.95,147.16,148.87,51011305,147.245602265334,148.273977971169,145.515162375707,147.206049353571,51011305,0.0,1.0
2023-02-23,149.4,150.34,147.24,150.09,48394249,147.73012543443,148.659618860858,145.594268199233,148.41241316234,48394249,0.0,1.0
2023-02-24,146.71,147.19,145.7202,147.11,55469606,145.070192118375,145.544827059529,144.091455316802,145.465721236004,55469606,0.0,1.0
2023-02-27,147.92,149.17,147.45,147.71,44998470,146.266667699202,147.502696191793,145.801920985988,146.059014912447,44998470,0.0,1.0
2023-02-28,147.41,149.08,146.83,147.05,50546998,145.762368074225,147.413702140326,145.188850853663,145.406391868359,50546998,0.0,1.0
2023-03-01,145.31,147.2285,145.01,146.83,55478991,143.685840206673,145.582896737101,143.389193368451,145.188850853663,55478991,0.0,1.0
2023-03-02,145.91,146.71,143.9,144.38,52279761,144.279133883117,145.070192118375,142.291600067031,142.766235008186,52279761,0.0,1.0
2023-03-03,151.03,151.11,147.33,148.045,70732297,149.341906588768,149.421012412293,145.683262250699,146.390270548461,70732297,0.0,1.0
2023-03-06,153.83,156.3,153.46,153.785,87558028,152.110610412171,154.55300271353,151.744745978364,152.066113386437,87558028,0.0,1.0
2023-03-07,151.6,154.0299,151.13,153.7,56182028,149.905535581389,152.308276088706,149.440788868175,151.982063448941,56182028,0.0,1.0
2023-03-08,152.87,153.47,151.83,152.81,47204791,151.161340529861,151.754634206305,150.132964824026,151.102011162217,47204791,0.0,1.0
2023-03-09,150.59,154.535,150.225,153.559,53833582,148.906824559376,152.807730481992,148.545904239539,151.842639434977,53833582,0.0,1.0
2023-03-10,148.5,150.94,147.6096,150.21,68572400,146.840184919764,149.252912537301,145.959737103922,148.531071897628,68572400,0.0,1.0
2023-03-13,150.47,153.14,147.7,147.805,84457122,148.788165824087,151.428322684261,146.049126684506,146.152953077884,84457122,0.0,1.0
2023-03-14,152.59,153.4,150.1,151.28,73695893,150.884470147521,151.685416610719,148.42230139028,149.589112287286,73695893,0.0,1.0
2023-03-15,152.99,153.245,149.92,151.19,77167866,151.27999926515,151.532149077638,148.244313287347,149.500118235819,77167866,0.0,1.0
2023-03-16,155.85,156.46,151.64,152.16,76254419,154.108032456197,154.711214360581,149.945088493152,150.45927634607,76254419,0.0,1.0
2023-03-17,155.0,156.74,154.28,156.08,98944633,153.267533081235,154.988084742922,152.555580669503,154.335461698834,98944633,0.0,1.0
2023-03-20,157.4,157.82,154.15,155.07,73641415,155.640707787009,156.05601336052,152.427033706274,153.336750676821,73641415,0.0,1.0
2023-03-21,159.28,159.4,156.54,157.32,73938285,157.499694639866,157.618353375154,154.790320184107,155.561601963484,73938285,0.0,1.0
2023-03-22,157.83,162.14,157.81,159.3,75701811,156.065901588461,160.327727830913,156.046125132579,157.519471095747,75701811,0.0,1.0
2023-03-23,158.93,161.5501,157.68,158.83,67622060,157.15360666194,159.74442126469,155.91757816935,157.054724382533,67622060,0.0,1.0
2023-03-24,160.25,160.34,157.85,158.86,59256343,158.458852750116,158.547846801583,156.085678044342,157.084389066355,59256343,0.0,1.0
2023-03-27,158.28,160.77,157.87,159.94,52390266,156.510871845793,158.973040603034,156.105454500223,158.152317683954,52390266,0.0,1.0
2023-03-28,157.65,158.49,155.98,157.97,45992152,155.887913485528,156.718524632548,154.236579419426,156.204336779631,45992152,0.0,1.0
2023-03-29,160.77,161.05,159.35,159.37,51305691,158.973040603034,159.249910985374,157.568912235451,157.588688691332,51305691,0.0,1.0
2023-03-30,162.36,162.47,161.271,161.53,49501689,160.545268845609,160.654039352957,159.468440822864,159.724545926529,49501689,0.0,1.0
2023-03-31,164.9,165.0,161.91,162.44,68749792,163.056878742553,163.15576102196,160.100298588276,160.624374669135,68749792,0.0,1.0
2023-04-03,166.17,166.29,164.22,164.27,56976187,164.312683691025,164.431342426314,162.384479242584,162.433920382287,56976187,0.0,1.0
2023-04-04,165.63,166.84,165.11,166.595,46278295,163.778719382226,164.975194963054,163.264531529308,164.732933378506,46278295,0.0,1.0
2023-04-05,163.76,165.05,161.8,164.74,51511744,161.92962075731,163.205202161664,159.991528080928,162.898667095501,51511744,0.0,1.0
2023-04-06,164.66,164.9584,162.0,162.43,45390123,162.819561271976,163.114625993727,160.189292639743,160.614486441194,45390123,0.0,1.0
2023-04-10,162.03,162.03,160.08,161.42,47716882,160.218957323565,160.218957323565,158.290752875124,159.615775419181,47716882,0.0,1.0
2023-04-11,160.8,162.36,160.51,162.35,47644217,159.002705286856,160.545268845609,158.715946676575,160.535380617668,47644217,0.0,1.0
2023-04-12,160.1,162.06,159.78,161.22,50133062,158.310529331005,160.248622007387,157.994106036902,159.418010860366,50133062,0.0,1.0
2023-04-13,165.56,165.8,161.42,161.63,68445649,163.709501786641,163.946819257218,159.615775419181,159.823428205936,68445649,0.0,1.0
2023-04-14,165.21,166.32,163.82,164.59,49386480,163.363413808716,164.461007110136,161.988950124955,162.750343676391,49386480,0.0,1.0
2023-04-17,165.23,165.39,164.03,165.09,40713618,163.383190264597,163.541401911649,162.19660291171,163.244755073427,40713618,0.0,1.0
2023-04-18,166.47,167.41,165.65,166.1,49923008,164.609330529247,165.538823955675,163.798495838107,164.24346609544,49923008,0.0,1.0
2023-04-19,167.63,168.16,165.54,165.8,47720166,165.756364970371,166.280441051229,163.689725330759,163.946819257218,47720166,0.0,1.0
2023-04-20,166.65,167.87,165.56,166.09,52456377,164.78731863218,165.993682440948,163.709501786641,164.233577867499,52456377,0.0,1.0
2023-04-21,165.02,166.4521,164.49,165.05,58337341,163.175537477842,164.591630601233,162.651461396983,163.205202161664,58337341,0.0,1.0
